,icd9,icd9_desc
7166,66824,Central nervous system complications of anesthesia or other sedation in labor and delivery
7167,66880,Other complications of anesthesia or other sedation in labor and delivery
7168,66881,Other complications of anesthesia or other sedation in labor and delivery
7169,66882,Other complications of anesthesia or other sedation in labor and delivery
7170,66883,Other complications of anesthesia or other sedation in labor and delivery
7171,66884,Other complications of anesthesia or other sedation in labor and delivery
7172,66890,Unspecified complication of anesthesia and other sedation in labor and delivery
7173,66891,Unspecified complication of anesthesia and other sedation in labor and delivery
7174,66892,Unspecified complication of anesthesia and other sedation in labor and delivery
7175,66893,Unspecified complication of anesthesia and other sedation in labor and delivery
7176,66894,Unspecified complication of anesthesia and other sedation in labor and delivery
7177,66900,Maternal distress complicating labor and delivery
7178,66901,Maternal distress complicating labor and delivery
7179,66902,Maternal distress complicating labor and delivery
7180,66903,Maternal distress complicating labor and delivery
7181,66904,Maternal distress complicating labor and delivery
7182,66910,Shock during or following labor and delivery
7183,66911,Shock during or following labor and delivery
7184,66912,Shock during or following labor and delivery
7185,66913,Shock during or following labor and delivery
7186,66914,Shock during or following labor and delivery
7187,66920,Maternal hypotension syndrome
7188,66921,Maternal hypotension syndrome
7189,66922,Maternal hypotension syndrome
7190,66923,Maternal hypotension syndrome
7191,66924,Maternal hypotension syndrome
7192,66930,Acute kidney failure following labor and delivery
7193,66932,Acute kidney failure following labor and delivery
7194,66934,Acute kidney failure following labor and delivery
7195,66940,Other complications of obstetrical surgery and procedures
7196,66941,Other complications of obstetrical surgery and procedures
7197,66942,Other complications of obstetrical surgery and procedures
7198,66943,Other complications of obstetrical surgery and procedures
7199,66944,Other complications of obstetrical surgery and procedures
7200,66950,Forceps or vacuum extractor delivery without mention of indication
7201,66951,Forceps or vacuum extractor delivery without mention of indication
7202,66960,Breech extraction
7203,66961,Breech extraction
7204,66970,Cesarean delivery
7205,66971,Cesarean delivery
7206,66980,Other complications of labor and delivery
7207,66981,Other complications of labor and delivery
7208,66982,Other complications of labor and delivery
7209,66983,Other complications of labor and delivery
7210,66984,Other complications of labor and delivery
7211,66990,Unspecified complication of labor and delivery
7212,66991,Unspecified complication of labor and delivery
7213,66992,Unspecified complication of labor and delivery
7214,66993,Unspecified complication of labor and delivery
7215,66994,Unspecified complication of labor and delivery
7216,67000,Major puerperal infection
7217,67002,Major puerperal infection
7218,67004,Major puerperal infection
7219,67010,Puerperal endometritis
7220,67012,Puerperal endometritis
7221,67014,Puerperal endometritis
7222,67020,Puerperal sepsis
7223,67022,Puerperal sepsis
7224,67024,Puerperal sepsis
7225,67030,Puerperal septic thrombophlebitis
7226,67032,Puerperal septic thrombophlebitis
7227,67034,Puerperal septic thrombophlebitis
7228,67080,Other major puerperal infection
7229,67082,Other major puerperal infection
7230,67084,Other major puerperal infection
7231,67100,Varicose veins of legs complicating pregnancy and the puerperium
7232,67101,Varicose veins of legs complicating pregnancy and the puerperium
7233,67102,Varicose veins of legs complicating pregnancy and the puerperium
7234,67103,Varicose veins of legs complicating pregnancy and the puerperium
7235,67104,Varicose veins of legs complicating pregnancy and the puerperium
7236,67110,Varicose veins of vulva and perineum complicating pregnancy and the puerperium
7237,67111,Varicose veins of vulva and perineum complicating pregnancy and the puerperium
7238,67112,Varicose veins of vulva and perineum complicating pregnancy and the puerperium
7239,67113,Varicose veins of vulva and perineum complicating pregnancy and the puerperium
7240,67114,Varicose veins of vulva and perineum complicating pregnancy and the puerperium
7241,67120,Superficial thrombophlebitis complicating pregnancy and the puerperium
7242,67121,Superficial thrombophlebitis complicating pregnancy and the puerperium
7243,67122,Superficial thrombophlebitis complicating pregnancy and the puerperium
7244,67123,Superficial thrombophlebitis complicating pregnancy and the puerperium
7245,67124,Superficial thrombophlebitis complicating pregnancy and the puerperium
7246,67130,Deep phlebothrombosis
7247,67131,Deep phlebothrombosis
7248,67133,Deep phlebothrombosis
7249,67140,Deep phlebothrombosis
7250,67142,Deep phlebothrombosis
7251,67144,Deep phlebothrombosis
7252,67150,Other phlebitis and thrombosis complicating pregnancy and the puerperium
7253,67151,Other phlebitis and thrombosis complicating pregnancy and the puerperium
7254,67152,Other phlebitis and thrombosis complicating pregnancy and the puerperium
7255,67153,Other phlebitis and thrombosis complicating pregnancy and the puerperium
7256,67154,Other phlebitis and thrombosis complicating pregnancy and the puerperium
7257,67180,Other venous complications of pregnancy and the puerperium
7258,67181,Other venous complications of pregnancy and the puerperium
7259,67182,Other venous complications of pregnancy and the puerperium
7260,67183,Other venous complications of pregnancy and the puerperium
7261,67184,Other venous complications of pregnancy and the puerperium
7262,67190,Unspecified venous complication of pregnancy and the puerperium
7263,67191,Unspecified venous complication of pregnancy and the puerperium
7264,67192,Unspecified venous complication of pregnancy and the puerperium
7265,67193,Unspecified venous complication of pregnancy and the puerperium
7266,67194,Unspecified venous complication of pregnancy and the puerperium
7267,67200,Pyrexia of unknown origin during the puerperium
7268,67202,Pyrexia of unknown origin during the puerperium
7269,67204,Pyrexia of unknown origin during the puerperium
7270,67300,Obstetrical air embolism
7271,67301,Obstetrical air embolism
7272,67302,Obstetrical air embolism
7273,67303,Obstetrical air embolism
7274,67304,Obstetrical air embolism
7275,67310,Amniotic fluid embolism
7276,67311,Amniotic fluid embolism
7277,67312,Amniotic fluid embolism
7278,67313,Amniotic fluid embolism
7279,67314,Amniotic fluid embolism
7280,67320,Obstetrical blood-clot embolism
7281,67321,Obstetrical blood-clot embolism
7282,67322,Obstetrical blood-clot embolism
7283,67323,Obstetrical blood-clot embolism
7284,67324,Obstetrical blood-clot embolism
7285,67330,Obstetrical pyemic and septic embolism
7286,67331,Obstetrical pyemic and septic embolism
7287,67332,Obstetrical pyemic and septic embolism
7288,67333,Obstetrical pyemic and septic embolism
7289,67334,Obstetrical pyemic and septic embolism
7290,67380,Other obstetrical pulmonary embolism
7291,67381,Other obstetrical pulmonary embolism
7292,67382,Other obstetrical pulmonary embolism
7293,67383,Other obstetrical pulmonary embolism
7294,67384,Other obstetrical pulmonary embolism
7295,67400,Cerebrovascular disorders in the puerperium
7296,67401,Cerebrovascular disorders in the puerperium
7297,67402,Cerebrovascular disorders in the puerperium
7298,67403,Cerebrovascular disorders in the puerperium
7299,67404,Cerebrovascular disorders in the puerperium
7300,67410,Disruption of cesarean wound
7301,67412,Disruption of cesarean wound
7302,67414,Disruption of cesarean wound
7303,67420,Disruption of perineal wound
7304,67422,Disruption of perineal wound
7305,67424,Disruption of perineal wound
7306,67430,Other complications of obstetrical surgical wounds
7307,67432,Other complications of obstetrical surgical wounds
7308,67434,Other complications of obstetrical surgical wounds
7309,67440,Placental polyp
7310,67442,Placental polyp
7311,67444,Placental polyp
7312,67450,Peripartum cardiomyopathy
7313,67451,Peripartum cardiomyopathy
7314,67452,Peripartum cardiomyopathy
7315,67453,Peripartum cardiomyopathy
7316,67454,Peripartum cardiomyopathy
7317,67480,Other complications of puerperium
7318,67482,Other complications of puerperium
7319,67484,Other complications of puerperium
7320,67490,Unspecified complications of puerperium
7321,67492,Unspecified complications of puerperium
7322,67494,Unspecified complications of puerperium
7323,67500,Infections of nipple associated with childbirth
7324,67501,Infections of nipple associated with childbirth
7325,67502,Infections of nipple associated with childbirth
7326,67503,Infections of nipple associated with childbirth
7327,67504,Infections of nipple associated with childbirth
7328,67510,Abscess of breast associated with childbirth
7329,67511,Abscess of breast associated with childbirth
7330,67512,Abscess of breast associated with childbirth
7331,67513,Abscess of breast associated with childbirth
7332,67514,Abscess of breast associated with childbirth
7333,67520,Nonpurulent mastitis associated with childbirth
7334,67521,Nonpurulent mastitis associated with childbirth
7335,67522,Nonpurulent mastitis associated with childbirth
7336,67523,Nonpurulent mastitis associated with childbirth
7337,67524,Nonpurulent mastitis associated with childbirth
7338,67580,Other specified infections of the breast and nipple associated with childbirth
7339,67581,Other specified infections of the breast and nipple associated with childbirth
7340,67582,Other specified infections of the breast and nipple associated with childbirth
7341,67583,Other specified infections of the breast and nipple associated with childbirth
7342,67584,Other specified infections of the breast and nipple associated with childbirth
7343,67590,Unspecified infection of the breast and nipple associated with childbirth
7344,67591,Unspecified infection of the breast and nipple associated with childbirth
7345,67592,Unspecified infection of the breast and nipple associated with childbirth
7346,67593,Unspecified infection of the breast and nipple associated with childbirth
7347,67594,Unspecified infection of the breast and nipple associated with childbirth
7348,67600,Retracted nipple associated with childbirth
7349,67601,Retracted nipple associated with childbirth
7350,67602,Retracted nipple associated with childbirth
7351,67603,Retracted nipple associated with childbirth
7352,67604,Retracted nipple associated with childbirth
7353,67610,Cracked nipple associated with childbirth
7354,67611,Cracked nipple associated with childbirth
7355,67612,Cracked nipple associated with childbirth
7356,67613,Cracked nipple associated with childbirth
7357,67614,Cracked nipple associated with childbirth
7358,67620,Engorgement of breasts associated with childbirth
7359,67621,Engorgement of breasts associated with childbirth
7360,67622,Engorgement of breasts associated with childbirth
7361,67623,Engorgement of breasts associated with childbirth
7362,67624,Engorgement of breasts associated with childbirth
7363,67630,Other and unspecified disorder of breast associated with childbirth
7364,67631,Other and unspecified disorder of breast associated with childbirth
7365,67632,Other and unspecified disorder of breast associated with childbirth
7366,67633,Other and unspecified disorder of breast associated with childbirth
7367,67634,Other and unspecified disorder of breast associated with childbirth
7368,67640,Failure of lactation
7369,67641,Failure of lactation
7370,67642,Failure of lactation
7371,67643,Failure of lactation
7372,67644,Failure of lactation
7373,67650,Suppressed lactation
7374,67651,Suppressed lactation
7375,67652,Suppressed lactation
7376,67653,Suppressed lactation
7377,67654,Suppressed lactation
7378,67660,Galactorrhea associated with childbirth
7379,67661,Galactorrhea associated with childbirth
7380,67662,Galactorrhea associated with childbirth
7381,67663,Galactorrhea associated with childbirth
7382,67664,Galactorrhea associated with childbirth
7383,67680,Other disorders of lactation
7384,67681,Other disorders of lactation
7385,67682,Other disorders of lactation
7386,67683,Other disorders of lactation
7387,67684,Other disorders of lactation
7388,67690,Unspecified disorder of lactation
7389,67691,Unspecified disorder of lactation
7390,67692,Unspecified disorder of lactation
7391,67693,Unspecified disorder of lactation
7392,67694,Unspecified disorder of lactation
7393,677,  Late effect of complication of pregnancy
7394,67800,Fetal hematologic conditions
7395,67801,Fetal hematologic conditions
7396,67803,Fetal hematologic conditions
7397,67810,Fetal conjoined twins
7398,67811,Fetal conjoined twins
7399,67813,Fetal conjoined twins
7400,67900,Maternal complications from in utero procedure
7401,67901,Maternal complications from in utero procedure
7402,67902,Maternal complications from in utero procedure
7403,67903,Maternal complications from in utero procedure
7404,67904,Maternal complications from in utero procedure
7405,67910,Fetal complications from in utero procedure
7406,67911,Fetal complications from in utero procedure
7407,67912,Fetal complications from in utero procedure
7408,67913,Fetal complications from in utero procedure
7409,67914,Fetal complications from in utero procedure
7410,6800, Carbuncle and furuncle of face
7411,6801, Carbuncle and furuncle of neck
7412,6802, Carbuncle and furuncle of trunk
7413,6803, Carbuncle and furuncle of upper arm and forearm
7414,6804, Carbuncle and furuncle of hand
7415,6805, Carbuncle and furuncle of buttock
7416,6806, Carbuncle and furuncle of leg
7417,6807, Carbuncle and furuncle of foot
7418,6808, Carbuncle and furuncle of other specified sites
7419,6809, Carbuncle and furuncle of unspecified site
7420,68100,Cellulitis and abscess of finger
7421,68101,Felon
7422,68102,Onychia and paronychia of finger
7423,68110,Cellulitis and abscess of toe
7424,68111,Onychia and paronychia of toe
7425,6819, Cellulitis and abscess of unspecified digit
7426,6820, Cellulitis and abscess of face
7427,6821, Cellulitis and abscess of neck
7428,6822, Cellulitis and abscess of trunk
7429,6823, Cellulitis and abscess of upper arm and forearm
7430,6824, Cellulitis and abscess of hand
7431,6825, Cellulitis and abscess of buttock
7432,6826, Cellulitis and abscess of leg
7433,6827, Cellulitis and abscess of foot
7434,6828, Cellulitis and abscess of other specified sites
7435,6829, Cellulitis and abscess of unspecified sites
7436,683,  Acute lymphadenitis
7437,684,  Impetigo
7438,6850, Pilonidal cyst with abscess
7439,6851, Pilonidal cyst without mention of abscess
7440,68600,Pyoderma
7441,68601,Pyoderma gangrenosum
7442,68609,Other pyoderma
7443,6861, Pyogenic granuloma of skin and subcutaneous tissue
7444,6868, Other specified local infections of skin and subcutaneous tissue
7445,6869, Unspecified local infection of skin and subcutaneous tissue
7446,69010,Seborrheic dermatitis
7447,69011,Seborrhea capitis
7448,69012,Seborrheic infantile dermatitis
7449,69018,Other seborrheic dermatitis
7450,6908, Other erythematosquamous dermatosis
7451,6910, Diaper or napkin rash
7452,6918, Other atopic dermatitis and related conditions
7453,6920, Contact dermatitis and other eczema due to detergents
7454,6921, Contact dermatitis and other eczema due to oils and greases
7455,6922, Contact dermatitis and other eczema due to solvents
7456,6923, Contact dermatitis and other eczema due to drugs and medicines in contact with skin
7457,6924, Contact dermatitis and other eczema due to other chemical products
7458,6925, Contact dermatitis and other eczema due to food in contact with skin
7459,6926, Contact dermatitis and other eczema due to plants [except food]
7460,69270,Unspecified dermatitis due to sun
7461,69271,Sunburn
7462,69272,Acute dermatitis due to solar radiation
7463,69273,Actinic reticuloid and actinic granuloma
7464,69274,Other chronic dermatitis due to solar radiation
7465,69275,Disseminated superficial actinic porokeratosis (DSAP)
7466,69276,Sunburn of second degree
7467,69277,Sunburn of third degree
7468,69279,Other dermatitis due to solar radiation
7469,69281,Dermatitis due to cosmetics
7470,69282,Dermatitis due to other radiation
7471,69283,Dermatitis due to metals
7472,69284,Contact dermatitis and other eczema due to animal (cat) (dog) dander
7473,69289,Contact dermatitis and other eczema due to other specified agents
7474,6929, Contact dermatitis and other eczema
7475,6930, Dermatitis due to drugs and medicines taken internally
7476,6931, Dermatitis due to food taken internally
7477,6938, Dermatitis due to other specified substances taken internally
7478,6939, Dermatitis due to unspecified substance taken internally
7479,6940, Dermatitis herpetiformis
7480,6941, Subcorneal pustular dermatosis
7481,6942, Juvenile dermatitis herpetiformis
7482,6943, Impetigo herpetiformis
7483,6944, Pemphigus
7484,6945, Pemphigoid
7485,69460,Benign mucous membrane pemphigoid without mention of ocular involvement
7486,69461,Benign mucous membrane pemphigoid with ocular involvement
7487,6948, Other specified bullous dermatoses
7488,6949, Unspecified bullous dermatoses
7489,6950, Toxic erythema
7490,69510,Erythema multiforme
7491,69511,Erythema multiforme minor
7492,69512,Erythema multiforme major
7493,69513,Stevens-Johnson syndrome
7494,69514,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome
7495,69515,Toxic epidermal necrolysis
7496,69519,Other erythema multiforme
7497,6952, Erythema nodosum
7498,6953, Rosacea
7499,6954, Lupus erythematosus
7500,69550,Exfoliation due to erythematous condition involving less than 10 percent of body surface
7501,69551,Exfoliation due to erythematous condition involving 10-19 percent of body surface
7502,69552,Exfoliation due to erythematous condition involving 20-29 percent of body surface
7503,69553,Exfoliation due to erythematous condition involving 30-39 percent of body surface
7504,69554,Exfoliation due to erythematous condition involving 40-49 percent of body surface
7505,69555,Exfoliation due to erythematous condition involving 50-59 percent of body surface
7506,69556,Exfoliation due to erythematous condition involving 60-69 percent of body surface
7507,69557,Exfoliation due to erythematous condition involving 70-79 percent of body surface
7508,69558,Exfoliation due to erythematous condition involving 80-89 percent of body surface
7509,69559,Exfoliation due to erythematous condition involving 90 percent or more of body surface
7510,69581,Ritter's disease
7511,69589,Other specified erythematous conditions
7512,6959, Unspecified erythematous condition
7513,6960, Psoriatic arthropathy
7514,6961, Other psoriasis
7515,6962, Parapsoriasis
7516,6963, Pityriasis rosea
7517,6964, Pityriasis rubra pilaris
7518,6965, Other and unspecified pityriasis
7519,6968, Other psoriasis and similar disorders
7520,6970, Lichen planus
7521,6971, Lichen nitidus
7522,6978, Other lichen
7523,6979, Lichen
7524,6980, Pruritus ani
7525,6981, Pruritus of genital organs
7526,6982, Prurigo
7527,6983, Lichenification and lichen simplex chronicus
7528,6984, Dermatitis factitia [artefacta]
7529,6988, Other specified pruritic conditions
7530,6989, Unspecified pruritic disorder
7531,700,  Corns and callosities
7532,7010, Circumscribed scleroderma
7533,7011, Keratoderma
7534,7012, Acquired acanthosis nigricans
7535,7013, Striae atrophicae
7536,7014, Keloid scar
7537,7015, Other abnormal granulation tissue
7538,7018, Other specified hypertrophic and atrophic conditions of skin
7539,7019, Unspecified hypertrophic and atrophic conditions of skin
7540,7020, Actinic keratosis
7541,70211,Inflamed seborrheic keratosis
7542,70219,Other seborrheic keratosis
7543,7028, Other specified dermatoses
7544,7030, Ingrowing nail
7545,7038, Other specified diseases of nail
7546,7039, Unspecified disease of nail
7547,70400,Alopecia
7548,70401,Alopecia areata
7549,70402,Telogen effluvium
7550,70409,Other alopecia
7551,7041, Hirsutism
7552,7042, Abnormalities of the hair
7553,7043, Variations in hair color
7554,70441,Pilar cyst
7555,70442,Trichilemmal cyst
7556,7048, Other specified diseases of hair and hair follicles
7557,7049, Unspecified disease of hair and hair follicles
7558,7050, Anhidrosis
7559,7051, Prickly heat
7560,70521,Primary focal hyperhidrosis
7561,70522,Secondary focal hyperhidrosis
7562,70581,Dyshidrosis
7563,70582,Fox-Fordyce disease
7564,70583,Hidradenitis
7565,70589,Other specified disorders of sweat glands
7566,7059, Unspecified disorder of sweat glands
7567,7060, Acne varioliformis
7568,7061, Other acne
7569,7062, Sebaceous cyst
7570,7063, Seborrhea
7571,7068, Other specified diseases of sebaceous glands
7572,7069, Unspecified disease of sebaceous glands
7573,70700,Pressure ulcer
7574,70701,Pressure ulcer
7575,70702,Pressure ulcer
7576,70703,Pressure ulcer
7577,70704,Pressure ulcer
7578,70705,Pressure ulcer
7579,70706,Pressure ulcer
7580,70707,Pressure ulcer
7581,70709,Pressure ulcer
7582,70710,Ulcer of lower limb
7583,70711,Ulcer of thigh
7584,70712,Ulcer of calf
7585,70713,Ulcer of ankle
7586,70714,Ulcer of heel and midfoot
7587,70715,Ulcer of other part of foot
7588,70719,Ulcer of other part of lower limb
7589,70720,Pressure ulcer
7590,70721,Pressure ulcer
7591,70722,Pressure ulcer
7592,70723,Pressure ulcer
7593,70724,Pressure ulcer
7594,70725,Pressure ulcer
7595,7078, Chronic ulcer of other specified sites
7596,7079, Chronic ulcer of unspecified site
7597,7080, Allergic urticaria
7598,7081, Idiopathic urticaria
7599,7082, Urticaria due to cold and heat
7600,7083, Dermatographic urticaria
7601,7084, Vibratory urticaria
7602,7085, Cholinergic urticaria
7603,7088, Other specified urticaria
7604,7089, Urticaria
7605,70900,Dyschromia
7606,70901,Vitiligo
7607,70909,Other dyschromia
7608,7091, Vascular disorders of skin
7609,7092, Scar conditions and fibrosis of skin
7610,7093, Degenerative skin disorders
7611,7094, Foreign body granuloma of skin and subcutaneous tissue
7612,7098, Other specified disorders of skin
7613,7099, Unspecified disorder of skin and subcutaneous tissue
7614,7100, Systemic lupus erythematosus
7615,7101, Systemic sclerosis
7616,7102, Sicca syndrome
7617,7103, Dermatomyositis
7618,7104, Polymyositis
7619,7105, Eosinophilia myalgia syndrome
7620,7108, Other specified diffuse diseases of connective tissue
7621,7109, Unspecified diffuse connective tissue disease
7622,71100,Pyogenic arthritis
7623,71101,Pyogenic arthritis
7624,71102,Pyogenic arthritis
7625,71103,Pyogenic arthritis
7626,71104,Pyogenic arthritis
7627,71105,Pyogenic arthritis
7628,71106,Pyogenic arthritis
7629,71107,Pyogenic arthritis
7630,71108,Pyogenic arthritis
7631,71109,Pyogenic arthritis
7632,71110,Arthropathy associated with Reiter's disease and nonspecific urethritis
7633,71111,Arthropathy associated with Reiter's disease and nonspecific urethritis
7634,71112,Arthropathy associated with Reiter's disease and nonspecific urethritis
7635,71113,Arthropathy associated with Reiter's disease and nonspecific urethritis
7636,71114,Arthropathy associated with Reiter's disease and nonspecific urethritis
7637,71115,Arthropathy associated with Reiter's disease and nonspecific urethritis
7638,71116,Arthropathy associated with Reiter's disease and nonspecific urethritis
7639,71117,Arthropathy associated with Reiter's disease and nonspecific urethritis
7640,71118,Arthropathy associated with Reiter's disease and nonspecific urethritis
7641,71119,Arthropathy associated with Reiter's disease and nonspecific urethritis
7642,71120,Arthropathy in Behcet's syndrome
7643,71121,Arthropathy in Behcet's syndrome
7644,71122,Arthropathy in Behcet's syndrome
7645,71123,Arthropathy in Behcet's syndrome
7646,71124,Arthropathy in Behcet's syndrome
7647,71125,Arthropathy in Behcet's syndrome
7648,71126,Arthropathy in Behcet's syndrome
7649,71127,Arthropathy in Behcet's syndrome
7650,71128,Arthropathy in Behcet's syndrome
7651,71129,Arthropathy in Behcet's syndrome
7652,71130,Postdysenteric arthropathy
7653,71131,Postdysenteric arthropathy
7654,71132,Postdysenteric arthropathy
7655,71133,Postdysenteric arthropathy
7656,71134,Postdysenteric arthropathy
7657,71135,Postdysenteric arthropathy
7658,71136,Postdysenteric arthropathy
7659,71137,Postdysenteric arthropathy
7660,71138,Postdysenteric arthropathy
7661,71139,Postdysenteric arthropathy
7662,71140,Arthropathy associated with other bacterial diseases
7663,71141,Arthropathy associated with other bacterial diseases
7664,71142,Arthropathy associated with other bacterial diseases
7665,71143,Arthropathy associated with other bacterial diseases
7666,71144,Arthropathy associated with other bacterial diseases
7667,71145,Arthropathy associated with other bacterial diseases
7668,71146,Arthropathy associated with other bacterial diseases
7669,71147,Arthropathy associated with other bacterial diseases
7670,71148,Arthropathy associated with other bacterial diseases
7671,71149,Arthropathy associated with other bacterial diseases
7672,71150,Arthropathy associated with other viral diseases
7673,71151,Arthropathy associated with other viral diseases
7674,71152,Arthropathy associated with other viral diseases
7675,71153,Arthropathy associated with other viral diseases
7676,71154,Arthropathy associated with other viral diseases
7677,71155,Arthropathy associated with other viral diseases
7678,71156,Arthropathy associated with other viral diseases
7679,71157,Arthropathy associated with other viral diseases
7680,71158,Arthropathy associated with other viral diseases
7681,71159,Arthropathy associated with other viral diseases
7682,71160,Arthropathy associated with mycoses
7683,71161,Arthropathy associated with mycoses
7684,71162,Arthropathy associated with mycoses
7685,71163,Arthropathy associated with mycoses
7686,71164,Arthropathy associated with mycoses
7687,71165,Arthropathy associated with mycoses
7688,71166,Arthropathy associated with mycoses
7689,71167,Arthropathy associated with mycoses
7690,71168,Arthropathy associated with mycoses
7691,71169,Arthropathy associated with mycoses
7692,71170,Arthropathy associated with helminthiasis
7693,71171,Arthropathy associated with helminthiasis
7694,71172,Arthropathy associated with helminthiasis
7695,71173,Arthropathy associated with helminthiasis
7696,71174,Arthropathy associated with helminthiasis
7697,71175,Arthropathy associated with helminthiasis
7698,71176,Arthropathy associated with helminthiasis
7699,71177,Arthropathy associated with helminthiasis
7700,71178,Arthropathy associated with helminthiasis
7701,71179,Arthropathy associated with helminthiasis
7702,71180,Arthropathy associated with other infectious and parasitic diseases
7703,71181,Arthropathy associated with other infectious and parasitic diseases
7704,71182,Arthropathy associated with other infectious and parasitic diseases
7705,71183,Arthropathy associated with other infectious and parasitic diseases
7706,71184,Arthropathy associated with other infectious and parasitic diseases
7707,71185,Arthropathy associated with other infectious and parasitic diseases
7708,71186,Arthropathy associated with other infectious and parasitic diseases
7709,71187,Arthropathy associated with other infectious and parasitic diseases
7710,71188,Arthropathy associated with other infectious and parasitic diseases
7711,71189,Arthropathy associated with other infectious and parasitic diseases
7712,71190,Unspecified infective arthritis
7713,71191,Unspecified infective arthritis
7714,71192,Unspecified infective arthritis
7715,71193,Unspecified infective arthritis
7716,71194,Unspecified infective arthritis
7717,71195,Unspecified infective arthritis
7718,71196,Unspecified infective arthritis
7719,71197,Unspecified infective arthritis
7720,71198,Unspecified infective arthritis
7721,71199,Unspecified infective arthritis
7722,71210,Chondrocalcinosis
7723,71211,Chondrocalcinosis
7724,71212,Chondrocalcinosis
7725,71213,Chondrocalcinosis
7726,71214,Chondrocalcinosis
7727,71215,Chondrocalcinosis
7728,71216,Chondrocalcinosis
7729,71217,Chondrocalcinosis
7730,71218,Chondrocalcinosis
7731,71219,Chondrocalcinosis
7732,71220,Chondrocalcinosis
7733,71221,Chondrocalcinosis
7734,71222,Chondrocalcinosis
7735,71223,Chondrocalcinosis
7736,71224,Chondrocalcinosis
7737,71225,Chondrocalcinosis
7738,71226,Chondrocalcinosis
7739,71227,Chondrocalcinosis
7740,71228,Chondrocalcinosis
7741,71229,Chondrocalcinosis
7742,71230,Chondrocalcinosis
7743,71231,Chondrocalcinosis
7744,71232,Chondrocalcinosis
7745,71233,Chondrocalcinosis
7746,71234,Chondrocalcinosis
7747,71235,Chondrocalcinosis
7748,71236,Chondrocalcinosis
7749,71237,Chondrocalcinosis
7750,71238,Chondrocalcinosis
7751,71239,Chondrocalcinosis
7752,71280,Other specified crystal arthropathies
7753,71281,Other specified crystal arthropathies
7754,71282,Other specified crystal arthropathies
7755,71283,Other specified crystal arthropathies
7756,71284,Other specified crystal arthropathies
7757,71285,Other specified crystal arthropathies
7758,71286,Other specified crystal arthropathies
7759,71287,Other specified crystal arthropathies
7760,71288,Other specified crystal arthropathies
7761,71289,Other specified crystal arthropathies
7762,71290,Unspecified crystal arthropathy
7763,71291,Unspecified crystal arthropathy
7764,71292,Unspecified crystal arthropathy
7765,71293,Unspecified crystal arthropathy
7766,71294,Unspecified crystal arthropathy
7767,71295,Unspecified crystal arthropathy
7768,71296,Unspecified crystal arthropathy
7769,71297,Unspecified crystal arthropathy
7770,71298,Unspecified crystal arthropathy
7771,71299,Unspecified crystal arthropathy
7772,7130, Arthropathy associated with other endocrine and metabolic disorders
7773,7131, Arthropathy associated with gastrointestinal conditions other than infections
7774,7132, Arthropathy associated with hematological disorders
7775,7133, Arthropathy associated with dermatological disorders
7776,7134, Arthropathy associated with respiratory disorders
7777,7135, Arthropathy associated with neurological disorders
7778,7136, Arthropathy associated with hypersensitivity reaction
7779,7137, Other general diseases with articular involvement
7780,7138, Arthropathy associated with other conditions classifiable elsewhere
7781,7140, Rheumatoid arthritis
7782,7141, Felty's syndrome
7783,7142, Other rheumatoid arthritis with visceral or systemic involvement
7784,71430,Polyarticular juvenile rheumatoid arthritis
7785,71431,Polyarticular juvenile rheumatoid arthritis
7786,71432,Pauciarticular juvenile rheumatoid arthritis
7787,71433,Monoarticular juvenile rheumatoid arthritis
7788,7144, Chronic postrheumatic arthropathy
7789,71481,Rheumatoid lung
7790,71489,Other specified inflammatory polyarthropathies
7791,7149, Unspecified inflammatory polyarthropathy
7792,71500,Osteoarthrosis
7793,71504,Osteoarthrosis
7794,71509,Osteoarthrosis
7795,71510,Osteoarthrosis
7796,71511,Osteoarthrosis
7797,71512,Osteoarthrosis
7798,71513,Osteoarthrosis
7799,71514,Osteoarthrosis
7800,71515,Osteoarthrosis
7801,71516,Osteoarthrosis
7802,71517,Osteoarthrosis
7803,71518,Osteoarthrosis
7804,71520,Osteoarthrosis
7805,71521,Osteoarthrosis
7806,71522,Osteoarthrosis
7807,71523,Osteoarthrosis
7808,71524,Osteoarthrosis
7809,71525,Osteoarthrosis
7810,71526,Osteoarthrosis
7811,71527,Osteoarthrosis
7812,71528,Osteoarthrosis
7813,71530,Osteoarthrosis
7814,71531,Osteoarthrosis
7815,71532,Osteoarthrosis
7816,71533,Osteoarthrosis
7817,71534,Osteoarthrosis
7818,71535,Osteoarthrosis
7819,71536,Osteoarthrosis
7820,71537,Osteoarthrosis
7821,71538,Osteoarthrosis
7822,71580,Osteoarthrosis involving
7823,71589,Osteoarthrosis involving
7824,71590,Osteoarthrosis
7825,71591,Osteoarthrosis
7826,71592,Osteoarthrosis
7827,71593,Osteoarthrosis
7828,71594,Osteoarthrosis
7829,71595,Osteoarthrosis
7830,71596,Osteoarthrosis
7831,71597,Osteoarthrosis
7832,71598,Osteoarthrosis
7833,71600,Kaschin-Beck disease
7834,71601,Kaschin-Beck disease
7835,71602,Kaschin-Beck disease
7836,71603,Kaschin-Beck disease
7837,71604,Kaschin-Beck disease
7838,71605,Kaschin-Beck disease
7839,71606,Kaschin-Beck disease
7840,71607,Kaschin-Beck disease
7841,71608,Kaschin-Beck disease
